round,Team,competitor,grp,type
1,TCU,1824,E8,winner
1,St. John's,1824,E5,winner
1,South Florida,1824,E6,winner
1,UCF,1824,E7,winner
1,Clemson,1824,S8,winner
1,Vanderbilt,1824,S5,winner
1,VCU,1824,S6,winner
1,Saint Mary's,1824,S7,winner
1,Utah State,1824,W8,winner
1,Arkansas,1824,W4,winner
1,Texas*,1824,W6,winner
1,Miami (Fla.),1824,W7,winner
1,Georgia,1824,M8,winner
1,Texas Tech,1824,M5,winner
1,Tennessee,1824,M6,winner
1,Kentucky,1824,M7,winner
1,Kansas,1824,E4,winner
1,Michigan State,1824,E3,winner
1,Nebraska,1824,S4,winner
1,Houston,1824,S2,winner
1,Wisconsin,1824,W5,winner
1,Gonzaga,1824,W3,winner
1,Alabama,1824,M4,winner
1,Virginia,1824,M3,winner
1,Connecticut,1824,E2,winner
1,Illinois*,1824,S3,winner
1,Arizona,1824,W1,winner
1,Iowa State,1824,M2,winner
1,Florida,1824,S1,winner
1,Purdue,1824,W2,winner
1,Michigan,1824,M1,winner
1,Duke,1824,E1,winner
2,Kansas,1824,E4,winner
2,Michigan State,1824,E3,winner
2,Nebraska,1824,S4,winner
2,Houston,1824,S2,winner
2,Wisconsin,1824,W4,winner
2,Gonzaga,1824,W3,winner
2,Alabama,1824,M4,winner
2,Virginia,1824,M3,winner
2,Connecticut,1824,E2,winner
2,Illinois*,1824,S3,winner
2,Arizona,1824,W1,winner
2,Iowa State,1824,M2,winner
2,Florida,1824,S1,winner
2,Purdue,1824,W2,winner
2,Michigan,1824,M1,winner
2,Duke,1824,E1,winner
3,Connecticut,1824,E2,winner
3,Illinois*,1824,S2,winner
3,Arizona,1824,W1,winner
3,Iowa State,1824,M2,winner
3,Florida,1824,S1,winner
3,Purdue,1824,W2,winner
3,Michigan,1824,M1,winner
3,Duke,1824,E1,winner
4,Florida,1824,S,winner
4,Purdue,1824,W,winner
4,Michigan,1824,M,winner
4,Duke,1824,E,winner
5,Michigan,1824,2,winner
5,Duke,1824,1,winner
6,Duke,1824,final,winner
