round,Team,competitor,grp,type
1,TCU,6598,E8,winner
1,St. John's,6598,E5,winner
1,South Florida,6598,E6,winner
1,UCLA,6598,E7,winner
1,Iowa,6598,S8,winner
1,Vanderbilt,6598,S5,winner
1,VCU,6598,S6,winner
1,Saint Mary's,6598,S7,winner
1,Utah State,6598,W8,winner
1,Wisconsin,6598,W5,winner
1,BYU,6598,W6,winner
1,Miami (Fla.),6598,W7,winner
1,Georgia,6598,M8,winner
1,Texas Tech,6598,M5,winner
1,Virginia,6598,M3,winner
1,Santa Clara,6598,M7,winner
1,Kansas,6598,E4,winner
1,Connecticut,6598,E2,winner
1,Nebraska,6598,S4,winner
1,Houston,6598,S2,winner
1,Arkansas,6598,W4,winner
1,Purdue,6598,W2,winner
1,Alabama,6598,M4,winner
1,Tennessee,6598,M6,winner
1,Michigan State,6598,E3,winner
1,Illinois*,6598,S3,winner
1,Gonzaga,6598,W3,winner
1,Iowa State,6598,M2,winner
1,Florida,6598,S1,winner
1,Michigan,6598,M1,winner
1,Duke,6598,E1,winner
1,Arizona,6598,W1,winner
2,Kansas,6598,E4,winner
2,Connecticut,6598,E2,winner
2,Nebraska,6598,S4,winner
2,Houston,6598,S2,winner
2,Arkansas,6598,W4,winner
2,Purdue,6598,W2,winner
2,Alabama,6598,M4,winner
2,Tennessee,6598,M3,winner
2,Michigan State,6598,E3,winner
2,Illinois*,6598,S3,winner
2,Gonzaga,6598,W3,winner
2,Iowa State,6598,M2,winner
2,Florida,6598,S1,winner
2,Michigan,6598,M1,winner
2,Duke,6598,E1,winner
2,Arizona,6598,W1,winner
3,Michigan State,6598,E2,winner
3,Illinois*,6598,S2,winner
3,Gonzaga,6598,W2,winner
3,Iowa State,6598,M2,winner
3,Florida,6598,S1,winner
3,Michigan,6598,M1,winner
3,Duke,6598,E1,winner
3,Arizona,6598,W1,winner
4,Florida,6598,S,winner
4,Michigan,6598,M,winner
4,Duke,6598,E,winner
4,Arizona,6598,W,winner
5,Duke,6598,1,winner
5,Arizona,6598,2,winner
6,Arizona,6598,final,winner
